Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
7390,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Engineering,G1,OPEN,532,351
7391,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Engineering,G1,SC,312,249
7392,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Nanoscience and Technology,G1,OPEN,437,415
7393,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,G1,OBC-NCL,315,315
7394,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,G1,OPEN,400,350
7395,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,G1,SC,260,260
7396,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Quantum Computing,G1,OBC-NCL,385,345
7397,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Quantum Computing,G1,EWS,392,392
7398,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Quantum Computing,G1,OPEN,547,406
7399,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Quantum Computing,G1,SC,266,207
7400,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (Radar and Communications),G1,OBC-NCL,333,333
7401,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (Radar and Communications),G1,OPEN,408,372
7402,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (Signal Processing and communication),G1,OBC-NCL,338,338
7403,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (Signal Processing and communication),G1,OPEN,420,354
7404,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (Signal Processing and communication),G1,SC,275,275
7405,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (VLSI and Embedded System),G1,OBC-NCL,421,388
7406,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (VLSI and Embedded System),G1,EWS,433,433
7407,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (VLSI and Embedded System),G1,OPEN,542,442
7408,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication  Engineering (VLSI and Embedded System),G1,SC,338,250
7409,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics andCommunication  Engineering (Defence Electronics System),G1,OPEN,383,354
7410,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Science and Chemical Technology (Corrosion Technology),G1,OPEN,423,419
7411,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Science and Chemical Technology (Materials Science and Technology),G1,OBC-NCL,322,322
7412,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Science and Chemical Technology (Materials Science and Technology),G1,EWS,323,323
7413,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Science and Chemical Technology (Materials Science and Technology),G1,OPEN,704,395
7414,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Mechanical Engineering (Armament and Combat Vehicles),G1,OBC-NCL,354,330
7415,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Mechanical Engineering (Armament and Combat Vehicles),G1,EWS,327,327
7416,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Mechanical Engineering (Armament and Combat Vehicles),G1,OPEN,478,368
7417,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Mechanical Engineering (Marine Engineering),G1,OPEN,369,362
7418,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Mechanical Engineering (Mechanical System Design),G1,OPEN,553,383
7419,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Modeling and Simulation,G1,OBC-NCL,402,335
7420,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Modeling and Simulation,G1,OPEN,539,426
7421,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Modeling and Simulation,G1,SC,273,267
7422,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Modeling and Simulation,G1,ST,264,264
7423,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Opto Electronics and  Communication systems (Lasers and Electro Optics),G1,OPEN,396,353
7424,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Opto Electronics and  Communication systems (Optical Communication and Photonics),G1,OBC-NCL,341,341
7425,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Opto Electronics and  Communication systems (Optical Communication and Photonics),G1,OPEN,375,362
7426,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Technology Management,G1,OPEN,478,354
7427,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Data Science,G1,OBC-NCL,499,427
7428,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Data Science,G1,EWS,526,526
7429,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Data Science,G1,OPEN,746,541
7430,Round 3,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Data Science,G1,SC,357,304
7431,Round 3,"Central University of Punjab, Bathinda, Punjab",Computer Science & Technology,G1,OPEN,359,359
7432,Round 3,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Information Technology,G1,OPEN,363,363
7433,Round 3,"Guru Ghasidas Vishwavidyalaya, Bilaspur",CAD/CAM-ROBOTICS,G1,OPEN,405,371
7434,Round 3,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Structural Engineering,G1,OPEN-PwD,250,250
7435,Round 3,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Structural Engineering,G1,SC,267,267
7436,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Artificial Intelligence,Group 1,OPEN,398,354
7437,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Artificial Intelligence,Group 1,SC,254,254
7438,Special Round 1,National Institute of Technology  Agartala,Artificial Intelligence,Group 1,OPEN,451,359
7439,Special Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OBC-NCL,343,343
7440,Special Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OPEN,411,363
7441,Special Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,Group 1,OPEN,438,438
7442,Special Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,Group 1,SC,275,275
7443,Special Round 1,University of Hyderabad,Artificial Intelligence,Group 1,OPEN,408,366
7444,Special Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,EWS,327,327
7445,Special Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,OPEN,387,361
7446,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,Group 1,OPEN,460,385
7447,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Automation and Robotics,Group 1,OBC-NCL,348,348
7448,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Automation and Robotics,Group 1,OPEN,425,368
7449,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Automation and Robotics,Group 1,ST,249,249
7450,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,Group 1,SC,267,267
7451,Special Round 1,School of Planning & Architecture: Vijayawada,Architectural Conservation,Group 1,OBC-NCL,296,296
7452,Special Round 1,School of Planning & Architecture: Vijayawada,Architectural Conservation,Group 1,OPEN,393,369
7453,Special Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,OBC-NCL,483,438
7454,Special Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,EWS,479,450
7455,Special Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,OPEN,554,487
7456,Special Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,SC,338,296
7457,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (UAVs),Group 1,OBC-NCL,361,361
7458,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (UAVs),Group 1,EWS,426,426
7459,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (UAVs),Group 1,OPEN,521,443
7460,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (UAVs),Group 1,SC,276,276
7461,Special Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Smart Manufacturing,Group 1,OPEN,374,374
7462,Special Round 1,"National Institute of Technology, Andhra Pradesh",Bioprocess Engineering,Group 1,OPEN,364,364
7463,Special Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),Group 1,OBC-NCL,494,478
7464,Special Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),Group 1,OPEN,569,511
7465,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Energy System Management,Group 1,OBC-NCL,333,333
7466,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Energy System Management,Group 1,OPEN,478,362
7467,Special Round 1,National Institute of Technology Patna,Master of Urban & Regional Planning,Group 1,OPEN,451,375
7468,Special Round 1,National Institute of Technology Patna,Master of Urban & Regional Planning,Group 1,SC,187,187
